Store Type,Metric,Includes Online Sales,Period,Percentage Change,Term,Period Type
Same Stores,Average Purchase per Customer,1,Apr '18,5.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Apr '18,8.400000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Apr '18,3.700000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Apr '18,4.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Apr '18,10.5,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Apr '18,5.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Apr '18,4.900000000000006,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,May '18,-2.700000000000003,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,May '18,-6.900000000000006,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,May '18,4.5,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,May '18,-5.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,May '18,-8.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,May '18,3.5999999999999943,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,May '18,-2.5,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,May '18,-6.5,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,May '18,4.299999999999997,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Jun '18,-4.0,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Jun '18,-7.5,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Jun '18,3.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Jun '18,-4.700000000000003,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Jun '18,-8.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Jun '18,3.9000000000000057,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Jun '18,-3.5999999999999943,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Jun '18,-7.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Jun '18,3.700000000000003,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Jul '18,-0.29999999999999716,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Jul '18,-3.299999999999997,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Jul '18,3.0999999999999943,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Jul '18,-1.9000000000000057,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Jul '18,-4.599999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Jul '18,2.9000000000000057,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Jul '18,0.0,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Jul '18,-2.9000000000000057,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Jul '18,3.0,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Aug '18,8.799999999999997,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Aug '18,3.700000000000003,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Aug '18,4.900000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Aug '18,7.400000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Aug '18,2.4000000000000057,September 2017 to August 2018,Monthly
